date,city,latitude,longitude,uv_index
2020-01-03 12:00:00,Quindalup,-33.667,115.145,10.91
2020-01-03 12:00:00,Ravenswood,-32.583,115.833,11.34
2020-01-03 12:00:00,Serpentine,-32.365,115.981,11.5
2020-01-03 12:00:00,Tom Price,-22.694,117.795,15.59
2020-01-03 12:00:00,Toodyay,-31.55,116.45,11.81
2020-01-03 12:00:00,Two Rocks,-31.495,115.588,11.53
2020-01-03 12:00:00,Vasse,-33.69,115.3,11.12
2020-01-03 12:00:00,Wagin,-33.317,117.35,11.34
2020-01-03 12:00:00,Waroona,-32.867,115.917,11.28
2020-01-03 12:00:00,Wickham,-20.675,117.14,14.16
2020-01-03 12:00:00,Wooroloo,-31.803,116.314,11.75
2020-01-03 12:00:00,Wundowie,-31.767,116.383,11.75
2020-01-03 12:00:00,Yallingup,-33.64,115.026,10.91
2020-01-03 12:00:00,Yanchep,-31.55,115.634,11.48
2020-01-03 12:00:00,York,-31.888,116.769,11.8
2020-01-03 12:00:00,Yunderup,-32.583,115.8,11.34
2020-01-04 12:00:00,Albany,-35.023,117.881,11.82
2020-01-04 12:00:00,Augusta,-34.312,115.159,12.37
2020-01-04 12:00:00,Australind,-33.279,115.715,12.41
2020-01-04 12:00:00,Bakers Hill,-31.751,116.455,12.7
2020-01-04 12:00:00,Bentley,-32.001,115.924,12.54
2020-01-04 12:00:00,Beverley,-32.109,116.926,12.62
2020-01-04 12:00:00,Bindoon,-31.38,116.097,12.66
2020-01-04 12:00:00,Binningup,-33.149,115.689,12.42
2020-01-04 12:00:00,Boddington,-32.802,116.471,12.64
2020-01-04 12:00:00,Boyanup,-33.486,115.73,12.41
2020-01-04 12:00:00,Bridgetown,-33.958,116.138,12.34
2020-01-04 12:00:00,Broome,-17.962,122.236,14.4
2020-01-04 12:00:00,Bullsbrook,-31.663,116.03,12.65
2020-01-04 12:00:00,Bunbury,-33.333,115.633,12.41
2020-01-04 12:00:00,Busselton,-33.648,115.346,12.5
2020-01-04 12:00:00,Cannington,-32.017,115.95,12.54
2020-01-04 12:00:00,Capel,-33.557,115.57,12.28
