date,latitude,longitude,uv-index,max-temperature
2021-01-17 04:00:00,-16,116,16.0,30.22
2021-01-18 04:00:00,-16,116,16.0,30.46
2021-01-19 04:00:00,-16,116,16.0,31.01
2021-01-12 04:00:00,-16,120,15.39,31.34
2021-01-13 04:00:00,-16,120,16.05,31.08
2021-01-14 04:00:00,-16,120,15.75,30.6
2021-01-15 04:00:00,-16,120,15.83,30.93
2021-01-16 04:00:00,-16,120,15.68,30.67
2021-01-17 04:00:00,-16,120,16.0,31.45
2021-01-18 04:00:00,-16,120,16.0,31.55
2021-01-19 04:00:00,-16,120,16.0,31.69
2021-01-12 03:00:00,-16,124,15.4,30.82
2021-01-13 03:00:00,-16,124,15.83,30.73
2021-01-14 03:00:00,-16,124,15.58,30.7
2021-01-15 03:00:00,-16,124,15.66,30.53
2021-01-16 03:00:00,-16,124,15.36,31.08
2021-01-17 03:00:00,-16,124,16.0,31.45
2021-01-18 03:00:00,-16,124,16.0,32.56
2021-01-19 03:00:00,-16,124,16.0,32.06
2021-01-12 03:00:00,-16,128,15.58,39.66
2021-01-13 03:00:00,-16,128,15.55,38.05
2021-01-14 03:00:00,-16,128,15.38,38.99
2021-01-15 03:00:00,-16,128,15.56,38.94
2021-01-16 03:00:00,-16,128,15.53,39.3
2021-01-17 03:00:00,-16,128,16.0,39.86
2021-01-18 03:00:00,-16,128,16.0,39.84
2021-01-19 03:00:00,-16,128,16.0,39.35
2021-01-12 04:00:00,-12,112,5.84,29.81
2021-01-13 04:00:00,-12,112,13.62,29.63
2021-01-14 04:00:00,-12,112,15.37,28.97
2021-01-15 04:00:00,-12,112,15.31,29.15
2021-01-16 04:00:00,-12,112,15.29,29.14
2021-01-17 04:00:00,-12,112,16.0,28.94
2021-01-18 04:00:00,-12,112,16.0,29.07
2021-01-19 04:00:00,-12,112,16.0,28.89
2021-01-12 04:00:00,-12,116,4.95,29.64
2021-01-13 04:00:00,-12,116,15.63,30.05
2021-01-14 04:00:00,-12,116,15.45,30.15
2021-01-15 04:00:00,-12,116,15.6,29.92
2021-01-16 04:00:00,-12,116,15.03,29.45
2021-01-17 04:00:00,-12,116,16.0,29.66
2021-01-18 04:00:00,-12,116,16.0,29.59
2021-01-19 04:00:00,-12,116,16.0,29.86
2021-01-12 04:00:00,-12,120,15.53,30.41
2021-01-13 04:00:00,-12,120,14.98,30.64
2021-01-14 04:00:00,-12,120,14.98,30.63
2021-01-15 04:00:00,-12,120,15.75,30.38
2021-01-16 04:00:00,-12,120,14.86,30.41
2021-01-17 04:00:00,-12,120,15.0,30.37
2021-01-18 04:00:00,-12,120,15.0,30.93
2021-01-19 04:00:00,-12,120,15.0,31.17
2021-01-12 03:00:00,-12,124,15.21,30.38
2021-01-13 03:00:00,-12,124,15.12,30.79
2021-01-14 03:00:00,-12,124,15.14,30.91
2021-01-15 03:00:00,-12,124,15.42,30.71
